drug_name,sideeffect_name,original_sideeffect,source
Codeine,hives,hives/itching/rash,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,itching,hives/itching/rash,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,rash,hives/itching/rash,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,loss of appetite,loss of appetite,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,nausea,nausea/vomiting,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,vomiting,nausea/vomiting,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,pale or blue lips,pale or blue lips/fingernails/skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,pale or blue fingernails,pale or blue lips/fingernails/skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,pale or blue skin,pale or blue lips/fingernails/skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,puffiness,puffiness/swelling of face/lips/tongue/eyelids,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,swelling of face,puffiness/swelling of face/lips/tongue/eyelids,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,swelling of lips,puffiness/swelling of face/lips/tongue/eyelids,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,swelling of tongue,puffiness/swelling of face/lips/tongue/eyelids,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,swelling of eyelids,puffiness/swelling of face/lips/tongue/eyelids,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,shivering,shivering,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,sweating,sweating,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,tremors,tremors,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,unconsciousness,unconsciousness,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,tiredness,unusual tiredness or weakness,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,weakness,unusual tiredness or weakness,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,yellow eyes,yellow eyes/skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,yellow skin,yellow eyes/skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,sleepiness,Overdose symptoms: Extreme sleepiness,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,pinpoint pupils,pinpoint pupils,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,irregular breathing,slow/irregular breathing,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,blue lips,blue lips/skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,chest pain,chest pain,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,cold,cold/clammy skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,clammy skin,cold/clammy skin,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
Codeine,coughing,coughing with pink frothy sputum,https://www.mayoclinic.org/drugs-supplements/codeine-oral-route/description/drg-20074022
